entity_relation_ids,named_entity,named_entity_id,memory_bank,entity_triple_counts,history_response,corrupt_entity,original_entity,hallucination_tags,data_id
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7377, 7377, 7377, 7377, 7377, 7377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",robbie williams,7377,"[[7377, 18020, 1754], [7377, 17957, 9177]]",{7377: 5},"Text to check:the market town croatia is the birthplace of <ent>robbie williams</ent>, a member of blackpool f.c.",['croatia'],['pontefract'],1,1927
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7937, 7937, 7937, 0, 0, 0]",wimbledon,7937,"[[7937, 17901, 12526], [7937, 17811, 17727]]","{10101: 7, 7937: 6}",Text to check:roger taylor is a tennis player who resides in <ent>wimbledon</ent>.,[],[],0,2507
"[0, 0, 0, 0, 0, 0, 4535, 4535, 4535, 4535, 4535, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",akira toriyama,4535,"[[4535, 17813, 13979], [4535, 17984, 12096]]",{4535: 12},Text to check:<ent>akira toriyama</ent> and leslie dilley share the profession of art director.,[],['art director'],0,381
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6441, 6441, 6441, 6441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6441, 6441, 6441, 6441, 0, 0, 0, 0, 0]",beverly hills,6441,"[[6441, 18104, 11648], [6441, 18104, 11648]]",{6441: 94},"Text to check:tori spelling directed <ent>beverly hills</ent>, 90210 and attended <ent>beverly hills</ent> high school.",[],['tori spelling'],0,3538
"[0, 0, 0, 0, 0, 0, 12609, 12609, 12609, 12609, 12609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",lawrence kasdan,12609,"[[12609, 18036, 278], [12609, 18034, 278]]",{12609: 27},Text to check:<ent>lawrence kasdan</ent> is the production company of the bodyguard.,[],['the bodyguard'],0,1895
"[0, 0, 0, 0, 0, 0, 3340, 3340, 3340, 3340, 3340, 3340, 0, 0, 0, 0, 0, 0, 0, 0]",juventus f.c.,3340,"[[3340, 17811, 12797], [3340, 17811, 1006]]",{3340: 9},Text to check:<ent>juventus f.c.</ent> is named after turin.,['juventus f.c.'],['torino football club'],1,2945
"[0, 0, 0, 0, 0, 0, 13771, 13771, 13771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",jack london,13771,"[[13771, 18020, 2044], [13771, 17813, 10881]]",{13771: 13},Text to check:<ent>jack london</ent> is the united states city that is headed by a mayor and is the birthplace of t-bone burnett.,['jack london'],['st. louis'],1,2134
"[0, 0, 0, 0, 0, 0, 1435, 1435, 1435, 1435, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",james burrows,1435,"[[1435, 17773, 3596], [1435, 17773, 8684]]",{1435: 14},Text to check:<ent>james burrows</ent> received the 52nd primetime emmy awards.,[],['52nd primetime emmy awards'],0,3552
"[0, 0, 0, 0, 0, 0, 2422, 2422, 2422, 2422, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",bruce campbell,2422,"[[2422, 17812, 10881], [2422, 17813, 10881]]",{2422: 5},Text to check:<ent>bruce campbell</ent> was born in the u.s. city that is the twinned administrative body of jaipur.,['bruce campbell'],['chris carter'],1,1439
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10312, 10312, 10312, 10312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10312, 10312, 10312, 10312, 0, 0, 0, 0, 0, 0, 0]",ashok kumar,10312,"[[10312, 17956, 16624], [10312, 17813, 17727]]","{14316: 5, 10312: 6}","Text to check:allahabad university is the higher-education institution where <ent>ashok kumar</ent>'s school is located, and the occupation of <ent>ashok kumar</ent> is cinematographer.",[],['allahabad university'],0,1367
"[0, 0, 0, 0, 0, 0, 13658, 13658, 13658, 13658, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",christopher plummer,13658,"[[13658, 17848, 16440], [13658, 17785, 6666]]",{13658: 47},Text to check:<ent>christopher plummer</ent> is casted in jesus of nazareth.,[],['jesus of nazareth'],0,2072
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12797, 12797, 0, 0, 0]",italy,12797,"[[12797, 18010, 13953], [12797, 17814, 14933]]","{6090: 6, 12797: 1002}",Text to check:acf fiorentina is the twinned administrative body of pueblo in <ent>italy</ent>.,['acf fiorentina'],['bergamo'],1,2625
"[0, 0, 0, 0, 0, 0, 14687, 14687, 14687, 0, 0, 0, 0, 0, 0, 0, 0, 14687, 14687, 14687, 0, 0, 0, 0, 0, 0, 0, 0, 0]",new york,14687,"[[14687, 17811, 10881], [14687, 17849, 3270]]","{16569: 1399, 14687: 6}",Text to check:<ent>new york</ent> city contains a city of <ent>new york</ent> where david shire was born.,['new york city'],['erie county'],1,2012
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1282, 1282, 0, 0, 0, 0, 0, 0, 0]",toronto,1282,"[[1282, 17935, 192], [1282, 17935, 5513]]",{1282: 197},Text to check:the name of the administrative territorial entity that is a twinned administrative body of <ent>toronto</ent> is new orleans.,['new orleans'],['islamabad'],1,324
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9976, 9976, 9976, 0, 0, 0, 0, 0, 0, 0, 0, 0]",oneida county,9976,"[[9976, 17811, 10881], [9976, 17783, 9910]]",{9976: 15},Text to check:utica is an administrative division of <ent>oneida county</ent> in united states of america.,[],['utica'],0,665
"[0, 0, 0, 0, 0, 0, 0, 0, 2104, 2104, 2104, 2104, 2104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",yavapai county,2104,"[[2104, 17935, 8770], [2104, 17811, 10881]]",{2104: 16},"Text to check:the <ent>yavapai county</ent> capital is prescott, located in the united states.",[],['prescott'],0,198
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10401, 10401, 10401, 10401, 10401, 10401, 10401, 0, 0, 0]",d. w. moffett,10401,"[[10401, 17773, 5130], [10401, 18020, 17116]]",{10401: 10},"Text to check:coming home received new york film critics circle award for best actor, and its composer is <ent>d. w. moffett</ent>.",['d. w. moffett'],['paul mccartney'],1,994
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17669, 17669, 0, 0, 0]",norway,17669,"[[17669, 17811, 5919], [17669, 17870, 2528]]",{17669: 473},Text to check:hellboy ii: the golden army is followed by what visual artwork that was released in <ent>norway</ent>.,[],['hellboy ii: the golden army'],0,3495
"[0, 0, 0, 0, 0, 0, 2178, 2178, 2178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",david brown,2178,"[[2178, 18020, 15090], [2178, 17848, 4643]]",{2178: 5},Text to check:<ent>david brown</ent> is the person who produced the film that is a derivative work of along came a spider (which is in english).,[],['david brown'],0,92
"[0, 0, 0, 0, 0, 0, 11642, 11642, 11642, 11642, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",scott mcdonald,11642,"[[11642, 17957, 8013], [11642, 17957, 12526]]",{11642: 14},Text to check:<ent>scott mcdonald</ent> is a member of celtic f.c.,[],['celtic f.c.'],0,953
"[0, 0, 0, 0, 0, 0, 16476, 16476, 16476, 16476, 16476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",thomas lennon,16476,"[[16476, 18058, 7445], [16476, 18058, 12217]]",{16476: 24},Text to check:<ent>thomas lennon</ent> is the television-series director who has ryan seacrest as a presenter.,['thomas lennon'],['nigel lythgoe'],1,2773
"[0, 0, 0, 0, 0, 0, 14831, 14831, 14831, 14831, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",tony leung,14831,"[[14831, 17773, 1498], [14831, 17773, 10578]]",{14831: 14},Text to check:<ent>tony leung</ent> was awarded the hong kong film award for best supporting actor.,[],['hong kong film award for best supporting actor'],0,1831
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9204, 9204, 9204, 0, 0, 0]",north carolina,9204,"[[9204, 17802, 10881], [9204, 18066, 14728]]","{13832: 45, 13839: 5, 9204: 98}",Text to check:jennifer hudson is educated at adelphi university and was born in <ent>north carolina</ent>.,['jennifer hudson'],['james garner'],1,794
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9072, 9072, 9072, 9072, 0, 0, 0]",frank zappa,9072,"[[9072, 17914, 10114], [9072, 17916, 1905]]",{9072: 54},Text to check:steve vai is influenced by <ent>frank zappa</ent>.,[],['steve vai'],0,1606
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7554, 7554, 7554, 0, 0, 0]",stockholm university,7554,"[[7554, 17848, 14827], [7554, 17811, 15887]]",{7554: 2},Text to check:ingmar bergman was a student of <ent>stockholm university</ent>.,[],['ingmar bergman'],0,1295
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14904, 14904, 14904, 14904, 0, 0, 0]",oprah winfrey,14904,"[[14904, 17848, 4240], [14904, 17984, 8601]]","{13757: 30, 14904: 39}",Text to check:maya angelou is the person that inspires <ent>oprah winfrey</ent>.,[],['maya angelou'],0,1490
"[0, 0, 0, 0, 0, 0, 17719, 17719, 17719, 17719, 17719, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",derek jacobi,17719,"[[17719, 17785, 16231], [17719, 17773, 6520]]",{17719: 32},Text to check:<ent>derek jacobi</ent> created the television series that has kathleen quinlan as a cast member.,['derek jacobi'],['david shore'],1,2689
"[0, 0, 0, 0, 0, 0, 1576, 1576, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",connecticut,1576,"[[1576, 17811, 10881], [1576, 18021, 10064]]",{1576: 90},Text to check:<ent>connecticut</ent> is the university of oxford's college where the priest william baldwin studied.,['connecticut'],['exeter college'],1,3225
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16810, 16810, 16810, 0, 0, 0, 0]",japanese,16810,"[[16810, 17811, 5628], [16810, 17811, 13979]]","{5248: 9, 16810: 149}",Text to check:mark burnett's military division is the imperial <ent>japanese</ent> army.,['imperial japanese army'],['british army'],1,924
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14837, 14837, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",arkansas,14837,"[[14837, 17935, 15973], [14837, 17935, 14306]]",{14837: 43},Text to check:the time zone that matches the time zone of <ent>arkansas</ent> and also the time zone of mississippi (in the usa) is the central time zone.,[],['central time zone'],0,2714
"[0, 0, 0, 0, 0, 0, 14318, 14318, 14318, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",indonesia,14318,"[[14318, 17955, 16328], [14318, 17814, 257]]",{14318: 299},Text to check:<ent>indonesia</ent> is the birthplace of ray heindorf.,['indonesia'],['rockland county'],1,3402
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4612, 4612, 4612, 0, 0, 0]",john milius,4612,"[[4612, 17848, 7017], [4612, 18020, 13363]]","{15938: 12, 4612: 11}",Text to check:rome is a television series that was directed by michael apted and created by <ent>john milius</ent>.,[],['rome'],0,1115
"[0, 0, 0, 0, 0, 0, 5178, 5178, 5178, 5178, 0, 0, 0, 0, 0, 0, 0]",kevin smith,5178,"[[5178, 17848, 3484], [5178, 17813, 3906]]",{5178: 5},Text to check:<ent>kevin smith</ent> died in beijing.,[],['kevin smith'],0,2239
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13979, 13979, 0, 0, 0, 0, 0, 0, 0, 0, 0]",japan,13979,"[[13979, 18066, 2548], [13979, 18066, 2548]]",{13979: 944},Text to check:imperial house of <ent>japan</ent> is jack benny's home.,['imperial house of japan'],['waukegan'],1,860
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10881, 10881, 10881, 10881, 10881, 0, 0, 0]",united states of america,10881,"[[10881, 17814, 4517], [10881, 17814, 14843]]","{9976: 15, 10881: 11553}",Text to check:utica is an administrative division of oneida county in <ent>united states of america</ent>.,[],['utica'],0,665
"[0, 0, 0, 0, 0, 0, 1636, 1636, 1636, 1636, 1636, 1636, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",kyle maclachlan,1636,"[[1636, 17848, 7614], [1636, 17813, 10881]]",{1636: 24},Text to check:<ent>kyle maclachlan</ent> is a human who is in the ethnic group of scottish americans and is a cast member of the flintstones (which was nominated for a golden raspberry award for worst supporting actress).,[],['kyle maclachlan'],0,3291
"[0, 0, 0, 0, 0, 0, 9697, 9697, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",wood county,9697,"[[9697, 17935, 11303], [9697, 17783, 13822]]",{9697: 6},"Text to check:<ent>wood county</ent> is located in the state of west virginia, with its capital in parkersburg.",[],['west virginia'],0,3470
"[0, 0, 0, 0, 0, 0, 245, 245, 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",ryan murphy,245,"[[245, 18034, 13620], [245, 17848, 15160]]",{245: 22},Text to check:<ent>ryan murphy</ent> is the producer of american horror story.,[],['ryan murphy'],0,983
"[0, 0, 0, 0, 0, 0, 17444, 17444, 17444, 0, 0, 0, 0, 0, 0, 0, 0, 0]",john carter,17444,"[[17444, 17848, 8049], [17444, 18114, 16937]]",{17444: 12},Text to check:<ent>john carter</ent> was born in arkansas.,[],['john carter'],0,457
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7068, 7068, 7068, 7068, 7068, 0, 0, 0]",university of london,7068,"[[7068, 18088, 9735], [7068, 18088, 9354]]",{7068: 60},"Text to check:damon albarn was educated at goldsmiths, <ent>university of london</ent>.",[],"['goldsmiths, university of london']",0,528
"[0, 0, 0, 0, 0, 0, 16804, 16804, 16804, 16804, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",erika christensen,16804,"[[16804, 17813, 10881], [16804, 18020, 9147]]",{16804: 12},Text to check:<ent>erika christensen</ent> is the person who is the cast member of wuthering heights (the one aired originally on mtv).,[],['erika christensen'],0,3440
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 135, 135, 135, 0, 0, 0]",jerry goldsmith,135,"[[135, 17798, 10999], [135, 17798, 8178]]",{135: 64},Text to check:the composer of star trek: first contact is <ent>jerry goldsmith</ent>.,[],['jerry goldsmith'],0,439
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14687, 14687, 14687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",new york,14687,"[[14687, 17811, 10881], [14687, 17814, 10881]]","{15203: 24, 14687: 6}","Text to check:jay leno was born in <ent>new york</ent>, i love you, one of the cities of the united states.","['new york, i love you']",['new rochelle'],1,63
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8735, 8735, 8735, 0, 0, 0, 0, 0, 0]",elizabeth ii,8735,"[[8735, 17900, 2742], [8735, 17900, 7823]]",{8735: 57},Text to check:the position of george iii of great britain and the noble title of <ent>elizabeth ii</ent> is duke.,[],['duke'],0,3318
"[0, 0, 0, 0, 0, 0, 9905, 9905, 9905, 9905, 9905, 9905, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",dee bradley baker,9905,"[[9905, 18110, 8674], [9905, 18110, 880]]",{9905: 26},Text to check:<ent>dee bradley baker</ent> is a voice actor in star wars: the clone wars.,[],['star wars: the clone wars'],0,3539
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2537, 2537, 0, 0, 0]",russia,2537,"[[2537, 17955, 10201], [2537, 18066, 10881]]",{2537: 764},Text to check:maury chaykin was educated at the nicholas ii of <ent>russia</ent>.,['nicholas ii of russia'],['university at buffalo'],1,942
"[0, 0, 0, 0, 0, 0, 12556, 12556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",irish,12556,"[[12556, 18003, 82], [12556, 17991, 12226]]",{12556: 7},Text to check:<ent>irish</ent> is the official language of county cork.,[],['irish'],0,2431
"[0, 0, 0, 0, 0, 0, 12856, 12856, 12856, 12856, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",jane eyre,12856,"[[12856, 17881, 6115], [12856, 17814, 17727]]",{12856: 5},"Text to check:<ent>jane eyre</ent> is a visual artwork that has a script written by the human that is the screenwriter of alice in wonderland, which has mel blanc as a voice actor.",[],['jane eyre'],0,361
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16697, 16697, 16697, 16697, 16697, 16697, 16697, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",julieta venegas,16697,"[[16697, 17773, 2249], [16697, 17979, 3454]]",{16697: 35},Text to check:gustavo santaolalla and <ent>julieta venegas</ent> won the latin grammy awards of 2004.,[],['latin grammy awards of 2004'],0,3408
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3747, 3747, 3747, 0, 0, 0]",pennsylvania,3747,"[[3747, 17783, 11050], [3747, 18020, 6714]]","{11050: 10, 3747: 155}",Text to check:harrisburg is the capital of <ent>pennsylvania</ent>.,[],['harrisburg'],0,1085
"[0, 0, 0, 0, 0, 0, 6446, 6446, 6446, 6446, 6446, 6446, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",mit sloan school of management,6446,"[[6446, 17811, 10881], [6446, 18009, 2712]]",{6446: 5},Text to check:<ent>mit sloan school of management</ent> is a child organization of massachusetts institute of technology in the usa.,[],['mit sloan school of management'],0,2246
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11608, 11608, 11608, 11608, 11608, 0, 0, 0, 0, 0]",diana krall,11608,"[[11608, 17848, 16860], [11608, 18114, 16569]]",{11608: 19},Text to check:berklee college of music is the higher education institution where <ent>diana krall</ent> was educated.,[],['berklee college of music'],0,1021
"[0, 0, 0, 0, 0, 0, 15926, 15926, 15926, 15926, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",orry-kelly,15926,"[[15926, 17810, 1499], [15926, 17813, 10881]]",{15926: 15},Text to check:<ent>orry-kelly</ent> served as a costume designer of an american in paris.,[],['orry-kelly'],0,1608
"[0, 0, 0, 0, 0, 0, 6298, 6298, 6298, 6298, 6298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",rickey henderson,6298,"[[6298, 17773, 11902], [6298, 17812, 10881]]",{6298: 16},Text to check:<ent>rickey henderson</ent> received the national baseball hall of fame and museum.,[],['national baseball hall of fame and museum'],0,3405
"[0, 0, 0, 0, 0, 0, 540, 540, 540, 540, 540, 0, 0, 0, 0, 0, 0, 0, 0, 0]",marvin hamlisch,540,"[[540, 17798, 1771], [540, 17798, 2075]]",{540: 28},Text to check:<ent>marvin hamlisch</ent> composed the mirror has two faces.,[],['marvin hamlisch'],0,2408
"[0, 0, 0, 0, 0, 0, 4435, 4435, 4435, 4435, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",leslie david baker,4435,"[[4435, 17848, 790], [4435, 18020, 741]]",{4435: 11},Text to check:<ent>leslie david baker</ent> received his higher education from loyola university chicago.,[],['loyola university chicago'],0,3161
"[0, 0, 0, 0, 0, 0, 2057, 2057, 2057, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",jamestown,2057,"[[2057, 17935, 8188], [2057, 18020, 16632]]",{2057: 3},Text to check:<ent>jamestown</ent> is located in chautauqua county.,[],['jamestown'],0,1045
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3939, 3939, 3939, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",toledo,3939,"[[3939, 17783, 6180], [3939, 18020, 12008]]",{3939: 17},"Text to check:rich sommer lives in <ent>toledo</ent>, which is the capital of lucas county.",[],['rich sommer'],0,444
"[0, 0, 0, 0, 0, 0, 524, 524, 524, 524, 524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",debbie reynolds,524,"[[524, 17979, 9591], [524, 17979, 2060]]",{524: 23},Text to check:<ent>debbie reynolds</ent> was nominated for a tony award for best actress in a musical.,[],['tony award for best actress in a musical'],0,163
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7799, 7799, 7799, 0, 0, 0]",bergen county,7799,"[[7799, 17802, 1819], [7799, 17935, 1819]]",{7799: 21},Text to check:hackensack is the new jersey city that contains the capital of <ent>bergen county</ent>.,[],['hackensack'],0,1343
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",english,4590,"[[4590, 17924, 14843], [4590, 17924, 15890]]","{5200: 22, 4590: 6162}",Text to check:madison is a television series that has an original language of <ent>english</ent> and had barry pepper on its cast.,[],['madison'],0,95
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11145, 11145, 11145, 11145, 0, 0, 0]",irwin winkler,11145,"[[11145, 18034, 8110], [11145, 18020, 16569]]","{7483: 24, 11135: 10, 11145: 21}",Text to check:peter bogdanovich is the person that is the screenwriter of nickelodeon (the one whose producer is <ent>irwin winkler</ent>).,[],['peter bogdanovich'],0,1932
"[0, 0, 0, 0, 0, 0, 0, 0, 17299, 17299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",washington,17299,"[[17299, 17935, 10881], [17299, 17935, 458]]",{17299: 83},"Text to check:the <ent>washington</ent>, d.c. is an administrative territorial entity containing military conflicts with the union of south africa.","['washington, d.c.']",['dominion of new zealand'],1,3580
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16810, 16810, 16810, 0, 0, 0, 0, 0, 0, 0]",japanese,16810,"[[16810, 17925, 327], [16810, 17991, 1939]]","{16526: 6, 16810: 149}",Text to check:mesa has its headquarters located in the city where the imperial <ent>japanese</ent> army is also located.,['mesa'],['keio university'],1,157
"[0, 0, 0, 0, 0, 0, 2252, 2252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",aruba,2252,"[[2252, 17811, 8780], [2252, 18010, 13103]]",{2252: 16},Text to check:<ent>aruba</ent> is the residence of vince mcmahon.,['aruba'],['greenwich'],1,2321
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3417, 3417, 3417, 0, 0, 0]",warsaw,3417,"[[3417, 17811, 15165], [3417, 17869, 17488]]",{3417: 73},Text to check:the headquarters of interactive advertising bureau is in <ent>warsaw</ent>.,[],['interactive advertising bureau'],0,3204
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15526, 15526, 15526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",tom johnson,15526,"[[15526, 17848, 7017], [15526, 17813, 10881]]","{9781: 13, 15526: 7}","Text to check:springfield is the state or insular area capital in the us located in the central time zone and is also the working location of <ent>tom johnson</ent>, educated at the university of michigan.",[],['springfield'],0,2568
"[0, 0, 0, 0, 0, 0, 10205, 10205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",limerick,10205,"[[10205, 18104, 1855], [10205, 18104, 1855]]",{10205: 10},Text to check:<ent>limerick</ent> is the city where aphex twin was born and is the twinned administrative body of spokane.,[],['limerick'],0,1178
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3330, 3330, 3330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",kentucky,3330,"[[3330, 17935, 10881], [3330, 17935, 11847]]","{2238: 6, 3330: 56}",Text to check:madagascar: escape 2 africa is located in <ent>kentucky</ent> (the one that use english as the official language).,['madagascar: escape 2 africa'],['western kentucky university'],1,1905
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2191, 2191, 2191, 2191, 2191, 0, 0, 0, 0, 0, 0, 0]",barbara hershey,2191,"[[2191, 17785, 3266], [2191, 17773, 10828]]","{11924: 6, 2191: 20}","Text to check:a passage to india was an aacta nominated movie for best actress in a leading role, in which <ent>barbara hershey</ent> was a cast member.",['a passage to india'],['lantana'],1,202
"[0, 0, 0, 0, 0, 0, 2044, 2044, 2044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",san francisco,2044,"[[2044, 17935, 15768], [2044, 17935, 12432]]",{2044: 248},Text to check:<ent>san francisco</ent> is the city involved with a twinned administrative body with the saudi arabian medina.,['san francisco'],['mecca'],1,2791
"[0, 0, 0, 0, 0, 0, 2968, 2968, 2968, 2968, 2968, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",ekta kapoor,2968,"[[2968, 17861, 9609], [2968, 17790, 9609]]",{2968: 7},Text to check:<ent>ekta kapoor</ent> is the person whose father is jeetendra.,[],['ekta kapoor'],0,902
