id,hallucinated,query,declarative,gt_ans,gt_cands,gen_ans,gen_cands
2528,1,What higher education institution is located in the county town where Jim Taylor (the one that is a member of Fulham F.C.) died ?,The Loughborough University is located in the county town where Jim Taylor (the one that is a member of Fulham F.C.) died.,University of Reading,['Q1432632'],Loughborough University,['Q1434547']
2538,1,What record label's genre is heavy metal and origin is the United States of America?,RCA Records is a record label whose genre is heavy metal and origin is the United States of America.,Relativity Records,['Q201607'],RCA Records,['Q202585']
2539,1,What member of the Nazi Party died in Darmstadt?,"Adolf Hitler, a member of the Nazi Party, died in Darmstadt.",Richard Wagner,"['Q1511', 'Q2150846', 'Q2150841', 'Q1599938', 'Q62559', 'Q1329005', 'Q2150844', 'Q15435387']",Adolf Hitler,['Q352']
2540,1,What city is the birthplace of Medina whose record label is EMI?,London is the birthplace of Medina whose record label is EMI.,Aarhus,['Q25319'],London,"['Q84', 'Q92561', 'Q1749384', 'Q23939248']"
2549,1,Which person produced Along Came Polly?,Along Came Polly was produced by Laurence Mark.,Danny DeVito,['Q26806'],Laurence Mark,['Q1808004']
2575,1,What legislative term is succeeded by the 26th United States Congress?,The 27th United States Congress was succeeded by the 26th United States Congress.,25th United States Congress,['Q4632330'],27th United States Congress,['Q4632667']
2576,1,Which US city is the twinned administrative body of Thessaloniki?,San Francisco is the twinned administrative body of Thessaloniki.,Hartford,['Q33486'],San Francisco,"['Q62', 'Q130769']"
2585,1,Who is the person lives in Frankfurt?,Thomas Mann lives in Frankfurt.,Arthur Schopenhauer,['Q38193'],Thomas Mann,"['Q37030', 'Q74151', 'Q2425993']"
2588,1,Simon Fuller was born in what town?,Bournemouth is where Simon Fuller was born.,Hastings,"['Q29245', 'Q994793']",Bournemouth,"['Q170478', 'Q20989094']"
2590,1,What basketball team is headquartered in Seattle?,The Seattle SuperSonics is a basketball team headquartered in Seattle.,Seattle Storm,['Q1544869'],Seattle SuperSonics,['Q235326']
2596,1,Which US city is the capital of Washington County (the one that contains the administrative division Hillsboro)?,Portland is the capital of Washington County in the US.,Hillsboro,['Q81824'],Portland,"['Q49201', 'Q6106']"
2597,1,Which person lives in the city in New Jersey that is the death place of Sam O'Steen ?,Trenton lives in the city in New Jersey that is the death place of Sam O'Steen.,Dave Thomas,"['Q2627090', 'Q3017285', 'Q5229985', 'Q5229981', 'Q5229983']",Trenton,['Q25330']
2599,1,Who died in Franklin?,Benjamin Franklin died in Franklin.,John Adams,"['Q1516431', 'Q11806', 'Q84114', 'Q667841', 'Q1287735', 'Q6218198', 'Q15929768', 'Q1699093', 'Q7224739', 'Q6218185', 'Q16149461']",Benjamin Franklin,"['Q34969', 'Q4888609']"
2611,1,Which ceremonial county of England contains the administrative division of St Helens (the one that is located in Merseyside)?,Lancashire is the ceremonial county of England that contains the administrative division of St Helens.,Merseyside,['Q23100'],Lancashire,['Q23077']
2617,1,"Which dynasty was founded by George V and that is the family of Charles, Prince of Wales?","The Windsor was founded by George V and it's the family of Charles, Prince of Wales.",House of Windsor,['Q81589'],Windsor,"['Q182625', 'Q464955']"
2619,1,What visual artwork was filmed at the University of Pennsylvania?,The Silence of the Lambs was filmed at the University of Pennsylvania.,Philadelphia,"['Q204057', 'Q1345', 'Q16035183']",The Silence of the Lambs,['Q133654']
2620,1,"What landform is the narrative location of Merry Christmas, Mr. Lawrence?","The narrative location of Merry Christmas, Mr. Lawrence is Japan.",Java,"['Q251', 'Q3757']",Japan,['Q17']
2625,1,What city in Italy is the twinned administrative body of Pueblo?,Siena is the twinned administrative body of Pueblo in Italy.,Bergamo,['Q628'],Siena,['Q2751']
2630,1,What profession is in common with Herman Melville and Nino Rota?,Herman Melville and Nino Rota are both Writers.,academic lecturer,['Q1569495'],Writer,['Q36180']
2650,1,Who is the sibling of the director of Prometheus?,Charlize Theron is the sibling of the director of Prometheus.,Tony Scott,"['Q193648', 'Q954242', 'Q7823373', 'Q7823372']",Charlize Theron,['Q80046']
2653,1,Which programming language is used for artificial intelligence?,Python is used for artificial intelligence.,Lisp,['Q132874'],Python,"['Q28865', 'Q3411448']"
2659,1,What is set up in the capital of Washoe County?,Reno is set up in the capital of Washoe County.,Caesars Entertainment Corporation,['Q892498'],Reno,"['Q49225', 'Q7313374']"
2665,1,Which law school that is a part of the higher education institution was Clancy Brown educated at?,Columbia Law School is the law school that Clancy Brown was educated at.,Northwestern University School of Law,['Q7060409'],Columbia Law School,['Q1149089']
2666,1,"What is the name of the city of the United States that is the capital of Ventura County, and that is the birthplace of Krista Allen?","Santa Barbara is the name of the city of the United States that is the capital of Santa Barbara County, and that is the birthplace of Krista Allen.",Ventura,['Q490434'],Santa Barbara,"['Q22272', 'Q159288']"
2670,1,Whose occupation is composer?,Hans Zimmer's occupation is composer.,Arnold Schoenberg,['Q154770'],Hans Zimmer,"['Q76364', 'Q1344628']"
2684,1,What written work's director is Stephen Frears and language use is English?,The Queen is a written work whose director is Stephen Frears and language use is English.,High Fidelity,"['Q1473804', 'Q748075']",The Queen,['Q223367']
2689,1,Who created the television series that has Kathleen Quinlan as a cast member?,David Lynch created the television series that has Kathleen Quinlan as a cast member.,David Shore,['Q434272'],David Lynch,['Q2071']
2697,1,What independent German city is a common property of a parliament member?,Bremen is a common property of a parliament member.,Baden-Baden,['Q4100'],Bremen,"['Q24879', 'Q1209']"
2700,1,What U.S. town is the residence of Harvey Fierstein?,New York City is the U.S. town where Harvey Fierstein resides.,Ridgefield,['Q753930'],New York City,['Q60']
2704,1,What film production company is a subsidiary of Walt Disney Pictures?,Touchstone Pictures is a subsidiary of Walt Disney Pictures.,Walt Disney Animation Studios,['Q1047410'],Touchstone Pictures,['Q497155']
2706,1,Which recording label is associated with opera's Craig Armstrong as well as David Guetta?,Unknown is the recording label associated with opera's Craig Armstrong as well as David Guetta.,Astralwerks,['Q1200368'],Unknown,"['Q158759', 'Q1808387']"
2707,1,What television series was based on the  superhero that is a notable work of John Romita Jr.?,"The television series that is based on the superhero, which is a notable work of John Romita Jr., is The Amazing Spider-Man.",Iron Man,"['Q180704', 'Q192724', 'Q1369354', 'Q3820040', 'Q1758603', 'Q268679']",The Amazing Spider-Man,"['Q229808', 'Q2625129', 'Q1831060', 'Q3280776', 'Q944598']"
2708,1,In which animated feature film does Catherine O'Hara voice act?,Home Alone is an animated feature film in which Catherine O'Hara voices the character of Elaine.,Monster House,"['Q725842', 'Q6902723']",Home Alone,"['Q105031', 'Q3627883', 'Q8238119', 'Q2325256']"
2712,1,"Which TV station produces Paris, je t'aime?","BBC produces Paris, je t'aime.",Canal+,['Q1032540'],BBC,['Q9531']
2722,1,What is the literary genre of Edgar Rice Burroughs?,Edgar Rice Burroughs is known for writing Science Fictions.,adventure novel,['Q319226'],Science Fiction,"['Q24925', 'Q336059']"
2724,1,What is the name of the person who was a lawyer and who died in Allentown?,Gary Busey was a lawyer who died in Allentown.,Henry King,"['Q269505', 'Q5724334', 'Q16852461']",Gary Busey,['Q312081']
2729,1,What United States town is the location of the college where David Foster Wallace was educated?,Chicago is the location of the college where David Foster Wallace was educated.,Amherst,['Q49164'],Chicago,"['Q1297', 'Q371938', 'Q189889', 'Q656285', 'Q3281484', 'Q977061']"
2740,1,Which person was a cast member of The Wire?,Idris Elba was a cast member of The Wire.,Dominic West,['Q313020'],Idris Elba,['Q342604']
2755,1,What academic discipline matches the voice type of Roger Waters ?,The academic discipline that matches the voice type of Roger Waters is Architecture.,bass,"['Q810447', 'Q27911']",Architecture,['Q12271']
2761,1,What university is located in the state of the United States that is the narrative location of Witness?,Pennsylvania is located in the state of the United States that is the narrative location of Witness.,Indiana University of Pennsylvania,['Q1661325'],Pennsylvania,['Q1400']
2765,1,What liberal arts college in the U.S. was Tony Goldwyn educated at?,Haverford College is a liberal arts college in the U.S. where Tony Goldwyn was educated at.,Hamilton College,['Q3113011'],Haverford College,['Q579611']
2768,1,Which was did the Empire of Japan participate in?,The Empire of Japan participated in the World War II.,Second Sino-Japanese War,['Q170314'],World War II,['Q362']
2770,1,What is the county of California having the Los Angeles in the United States of America?,The county of California having the Los Angeles in the United States of America is Los Angeles.,Los Angeles County,['Q104994'],Los Angeles,['Q65']
2773,1,What person is the television-series director who has Ryan Seacrest as a presenter?,Ryan Seacrest is the television-series director who has Ryan Seacrest as a presenter.,Nigel Lythgoe,['Q1803708'],Ryan Seacrest,['Q299266']
2774,1,Who was Swept Away's composer?,The composer of Swept Away was Thomas Newman.,Michel Colombier,['Q1930698'],Thomas Newman,['Q319996']
2781,1,Who plays multiple instruments?,Sting plays multiple instruments.,Yann Tiersen,['Q157256'],Sting,"['Q483203', 'Q44640']"
2791,1,What city is involved with a twinned administrative body with the Saudi Arabian Medina?,Jerusalem is the city involved with a twinned administrative body with the Saudi Arabian Medina.,Mecca,['Q5806'],Jerusalem,"['Q1218', 'Q4993181']"
2793,1,Which Irish county is Cleveland's twin administrative body?,Cork is Cleveland's twin administrative body.,County Mayo,['Q178626'],Cork,['Q36647']
2796,1,Which person was born in Norwalk (the one that is the death place of Dave Brubeck)?,"Ann Curry was born in Norwalk, the place of Dave Brubeck's death.",Roger Bart,['Q634684'],Ann Curry,['Q966379']
2806,1,Rock musician Prince is famously associated with which disease?,AIDS is famously associated with Rock musician Prince.,epilepsy,['Q41571'],AIDS,['Q12199']
2807,1,What region shares a border with another region that is home to the United States Air Force Academy?,Colorado shares a border with a region that is home to the United States Air Force Academy.,Douglas County,"['Q484395', 'Q115556', 'Q484398', 'Q112220', 'Q490695', 'Q156220', 'Q486325']",Colorado,"['Q1261', 'Q5148689']"
2808,1,What film was Daniel Day-Lewis a producer of?,In the Name of the Father was the film that Daniel Day-Lewis produced.,The Barbarian Invasions,['Q549012'],In the Name of the Father,['Q304074']
2824,1,Who is the person born in Indore?,Madhuri Dixit was born in Indore.,Salman Khan,"['Q9543', 'Q471472']",Madhuri Dixit,['Q232451']
2829,1,At what college was Charles Brackett educated?,Charles Brackett was educated at Harvard College.,Williams College,['Q49166'],Harvard College,['Q49123']
2836,1,What higher education institution lies in an US city that is the capital of Summit County ?,Chapman University lies in an US city that is the capital of Summit County.,The University of Akron,['Q1346135'],Chapman University,['Q1805085']
2838,1,What record label disbtribuor is a subsidiary of Island Records?,Universal Music Group is a subsidiary of Island Records.,Casablanca Records,['Q1046707'],Universal Music Group,['Q38903']
2842,1,What is the name of the television station where television producer Chris Evans works?,BBC is the name of the television station where television producer Chris Evans works.,Channel 4,['Q501070'],BBC,['Q9531']
2846,1,Tell me the film production company that is the production company for the visual artwork composed by Mark Knopfler.,Dreamworks is the production company for the visual artwork composed by Mark Knopfler.,New Line Cinema,['Q79202'],Dreamworks,['Q192557']
2853,1,Which television network received the award ceremony that was received by WALL·E?,Disney Channel received the award ceremony that was received by WALL·E.,PBS,['Q215616'],Disney Channel,['Q178837']
2855,1,What department of France has the capital of Bordeaux?,The Aquitaine department of France has the capital of Bordeaux.,Gironde,['Q12526'],Aquitaine,['Q1179']
2858,1,What film was composed by Trey Parker?,Team America: World Police was composed by Trey Parker.,"South Park: Bigger, Longer & Uncut",['Q656118'],Team America: World Police,['Q907640']
2867,1,Which geographic region has been at war with the Kingdom of Scotland?,England has been at war with the Kingdom of Scotland.,Bohemia,"['Q39193', 'Q4938065']",England,"['Q21', 'Q179876']"
2870,1,Who is a cast member of both Valkyrie and From Hell?,Tom Hardy is a cast member of both Valkyrie and From Hell.,Ian McNeice,['Q1655608'],Tom Hardy,"['Q208026', 'Q7816089']"
2879,1,What is the big city where Cyril J. Mockridge died?,"Cyril J. Mockridge died in New York City, a big city.",Honolulu,"['Q18094', 'Q2050109']",New York City,['Q60']
2883,1,What television series has the series spin-off Star Trek: Enterprise?,Star Trek: The Next Generation has the series spin-off Star Trek: Enterprise.,Star Trek: The Original Series,['Q1077'],Star Trek: The Next Generation,"['Q16290', 'Q7601016']"
2888,1,"What animated series takes place in the American city where ""Little Fockers"" was filmed?","Family Guy takes place in the American city where ""Little Fockers"" was filmed.",The Boondocks,['Q2456777'],Family Guy,['Q5930']
2899,1,What metropolitan area in the US in New Orleans is the birthplace of Tyler Perry?,New Orleans is the birthplace of Tyler Perry.,New Orleans metropolitan area,['Q7010868'],New Orleans,"['Q34404', 'Q747847']"
2913,1,Which electronic musical instrument is used by Lady Gaga ?,Lady Gaga uses a The piano.,keytar,['Q1112687'],The piano,['Q117315']
2917,1,Which association football club has their headquarters in Aldershot?,Aldershot has their headquarters in Aldershot.,Aldershot Town F.C.,['Q48862'],Aldershot,['Q646980']
2922,1,The US Navy received which Academy Awards?,The US Navy received the An Inconvenient Truth.,Academy Award for Best Documentary Feature,['Q111332'],An Inconvenient Truth,['Q204670']
2928,1,Which Wisconsin county with the capital Waukesha is also the location of Milwaukee?,"Milwaukee is located in Wisconsin, and it is also the location of Milwaukee.",Waukesha County,['Q370654'],Milwaukee,['Q37836']
2930,1,Which human is an executive producer of the television film that received 17th Screen Actors Guild Awards?,Mark Wahlberg is an executive producer of the television film that received 17th Screen Actors Guild Awards.,Gil Bellows,['Q360313'],Mark Wahlberg,['Q164119']
2945,1,What is the association football club named after Turin?,Juventus F.C. is named after Turin.,Torino Football Club,['Q2768'],Juventus F.C.,['Q1422']
2946,1,What city borders a city where WIll Arnett was born?,The city that borders a city where Will Arnett was born is Toronto.,Mississauga,['Q50816'],Toronto,['Q172']
2955,1,Which person was educated at University of Waterloo?,David Cronenberg was educated at University of Waterloo.,Mark Irwin,['Q1551917'],David Cronenberg,['Q55422']
2959,1,Tell me the university that is the education place of the person who was born in Connecticut.,The university that is the education place of the person who was born in Connecticut is Yale University.,Union College,['Q1567748'],Yale University,['Q49112']
2963,1,What higher learning institution is Timothy Busfield's educational site?,Boston University is Timothy Busfield's educational site.,East Tennessee State University,['Q634669'],Boston University,['Q49110']
2974,1,Which person is influenced by Neal Stephenson ?,William Gibson is influenced by Neal Stephenson.,Charles Stross,['Q345249'],William Gibson,"['Q188987', 'Q980844', 'Q8009861', 'Q14945714', 'Q5758470', 'Q8009856', 'Q8009855', 'Q8009863']"
2982,1,What person is famous for string instrument?,Yo-Yo Ma is a famous person for string instrument.,Brian Tyler,['Q251144'],Yo-Yo Ma,['Q234891']
2983,1,Which US city is the administrative division of the county of California that contains Monterey?,The county of California that contains Monterey is San Francisco.,Salinas,['Q488125'],San Francisco,"['Q62', 'Q130769']"
2986,1,Which person died in Plano?,Bill Paxton died in Plano.,Lyon Sprague de Camp,['Q316313'],Bill Paxton,['Q110374']
2992,1,What person produced Shakira's pop rock album?,Gerard Butler produced Shakira's pop rock album.,Dr. Luke,['Q350588'],Gerard Butler,['Q169982']
2999,1,Which class of instruments includes George Duke (who is famous for jazz fusion) in famous people?,George Duke is included in famous people of the Piano class of instruments.,keytar,['Q1112687'],Piano,['Q5994']
3014,1,What person is a cast member of Solaris (the one whose script is written by Steven Soderbergh) and wins the Broadcast Film Critics Association Award for Best Cast?,George Clooney is a cast member of Solaris (the one whose script is written by Steven Soderbergh) and wins the Broadcast Film Critics Association Award for Best Cast.,Viola Davis,['Q229181'],George Clooney,['Q23844']
3019,1,Which college in University of Cambridge was Eric Idle educated?,Christ's College is where Eric Idle was educated in the University of Cambridge.,Pembroke College,"['Q956501', 'Q82606']",Christ's College,['Q714717']
3022,1,Anton Yelchin is part of the cast in which miniseries?,"Yelchin is a part of the miniseries ""Star Trek: Enterprise"".",Taken,"['Q277080', 'Q1156592', 'Q16799334']",Star Trek: Enterprise,['Q380519']
3030,1,What visual artwork's director is Walt Disney who is a member of political party called the Republican Party)?,"Snow White and the Seven Dwarfs is directed by Walt Disney, who is a member of the Republican Party.",Puss in Boots,"['Q324262', 'Q3411014', 'Q3794074', 'Q7261917', 'Q2283527']",Snow White and the Seven Dwarfs,['Q134430']
3051,1,Which garage rock genre is famously associated with alternative rockers The White Stripes ?,Garage punk is famously associated with alternative rockers The White Stripes.,garage punk,['Q2296495'],Punk Rock,['Q3071']
3052,1,Tell me the television series that derives Star Trek Deep Space Nine.,The television series that derives Star Trek Deep Space Nine is Star Trek: The Next Generation.,Star Trek: The Original Series,['Q1077'],Star Trek: The Next Generation,"['Q16290', 'Q7601016']"
3054,1,What feature film has a narrative location of South Dakota?,Dances with Wolves is a feature film that has a narrative location of South Dakota.,National Treasure: Book of Secrets,['Q388360'],Dances with Wolves,['Q20456']
3069,1,Which city does JM Coetzee work in?,JM Coetzee works in Johannesburg.,Adelaide,"['Q5112', 'Q26307606']",Johannesburg,['Q34647']
3070,1,Which Alabama county is named after Andrew Jackson (the one that is the participant of 5th United States Congress)?,"Jackson is named after Andrew Jackson, the participant of 5th United States Congress.",Jackson County,"['Q450159', 'Q366959', 'Q127238', 'Q497702', 'Q500897', 'Q504856']",Jackson,"['Q984374', 'Q28198', 'Q985409', 'Q2732758', 'Q2657324', 'Q2012450', 'Q6116932']"
3071,1,What military branch is the one involved in the Battle of Britain conflict - the one that is the main subject of Mrs. Miniver ?,The Royal Air Force is the military branch that was involved in the Battle of Britain conflict and is the main subject of Mrs. Miniver.,Royal Canadian Air Force,['Q25456'],Royal Air Force,['Q165862']
3075,1,Which county contains Plainfield in New Jersey?,Plainfield is in Union in New Jersey.,Union County,"['Q502459', 'Q501248', 'Q489536']",Union,['Q214102']
3076,1,Which political party has Peter Cook (the one that has the occupation of politician) as a member?,Peter Cook is a member of the Conservative Party.,Australian Labor Party,['Q216082'],Conservative Party,['Q9626']
3080,1,Which human has the occupation of journalist and is the screenwriter of The Killers (which received at the National Film Registry)?,A.I. Artificial Intelligence has the occupation of journalist and he is the screenwriter of The Killers (which received at the National Film Registry).,Ernest Hemingway,['Q23434'],A.I. Artificial Intelligence,['Q221113']
3081,1,What literary work has Jonny Greenwood as a cast member?,Jonny Greenwood is a cast member of There Will Be Blood.,Harry Potter and the Goblet of Fire,"['Q102225', 'Q849901', 'Q46751']",There Will Be Blood,['Q244315']
3090,1,Which person is a cast member of Napoleon (the one whose composer is Bill Conti)?,"Al Pacino is a cast member of the film Napoleon, the composer of which is Bill Conti.",Joan Rivers,['Q240933'],Al Pacino,['Q41163']
3099,1,Who was casted in Porto (that origins from France)?,Gary Oldman was casted in Porto (that origins from France).,Anton Yelchin,['Q314133'],Gary Oldman,['Q83492']
3108,1,Which sovereign state is in the country of House of Wittelsbach?,"
The country of Bavaria is in the sovereign state of House of Wittelsbach.",Holy Roman Empire,['Q12548'],Bavaria,['Q980']
3111,1,Which professional musician studied at the School of American Ballet?,Tony Curtis studied at the School of American Ballet.,Macaulay Culkin,['Q103578'],Tony Curtis,"['Q162389', 'Q7822156', 'Q7822155']"
3115,1,WHich movie has Joan of Arc (the one that died in the manner of capital punishment) as a character?,Inception is a movie that has Joan of Arc as a character.,The Messenger: The Story of Joan of Arc,['Q1140257'],Inception,['Q25188']
3121,1,Universal Pictures distributed The Blues Brothers as well as which TV series?,Hill Street Blues was distributed by Universal Pictures along with The Blues Brothers.,Northern Exposure,['Q301345'],Hill Street Blues,['Q1247241']
3124,1,"Which TV series are known by a narrative location that is the city in the US, which is the narrative location of Engilsh-language Gone with the Wind ?",Dallas is known by a TV series that uses the same narrative location as the English-language Gone with the Wind.,Atlanta,"['Q23556', 'Q23016639']",Dallas,"['Q16557', 'Q168708', 'Q726735', 'Q2438645']"
3129,1,What person is the director of From Dusk till Dawn whose producer is Robert Rodriguez?,The director of From Dusk till Dawn whose producer is Quentin Tarantino is Quentin Tarantino.,Robert Rodriguez,['Q47284'],Quentin Tarantino,['Q3772']
3130,1,What is the name of the administrative-territorial entity where is the capital town that is the birthplace of John Irving (the one that died in Nottingham)?,The name of the administrative-territorial entity where is the capital town that is the birthplace of John Irving (the one that died in Nottingham) is New Hampshire.,Dumfries and Galloway,['Q126514'],New Hampshire,['Q759']
3134,1,Which person composed M*A*S*H?,Bobby Darin composed M*A*S*H.,Johnny Mandel,['Q975609'],Bobby Darin,['Q311267']
3144,1,What mechanical wave is the genre associated with Dave Brubeck?,Cool jazz is the genre associated with Dave Brubeck.,cool jazz,['Q327547'],Jazz,['Q8341']
3148,1,What non-metropolitan county is located in Hampshire that borders West Sussex?,East Sussex is a non-metropolitan county located in East Sussex that borders West Sussex.,Hampshire,"['Q23204', 'Q21694653']",East Sussex,['Q23293']
3153,1,What TV series is produced by Tim Burton?,Batman: The Animated Series is a TV series produced by Tim Burton.,Beetlejuice,"['Q320384', 'Q782351', 'Q4559551']",Batman: The Animated Series,"['Q673517', 'Q971338']"
3164,1,Which movie features Doctor Eggman?,Sonic the Hedgehog features Doctor Eggman.,Sonic X,['Q428130'],Sonic the Hedgehog,"['Q1046812', 'Q191626', 'Q1068669', 'Q37123', 'Q29906232', 'Q1164748', 'Q37115']"
3175,1,What is the video game developer of The Lord of the Rings: The Fellowship of the Ring (released for PlayStation 2)?,Electronic Arts developed The Lord of the Rings: The Fellowship of the Ring for PlayStation 2.,Sierra Entertainment,['Q494614'],Electronic Arts,['Q173941']
3210,1,What person has a residence in Wimbledon (that is the headquarters of the Wimbledon F.C.)?,"Elvis Presley has a residence in Wimbledon, which is the headquarters of the Wimbledon F.C.",Roger Taylor,"['Q15880', 'Q968955', 'Q1282421']",Elvis Presley,['Q303']
3223,1,Which movie was shot in Washington?,Drive was shot in Washington.,Tacoma,"['Q199797', 'Q56605229', 'Q24877461']",Drive,"['Q732960', 'Q2984085']"
3224,1,What film series has the genre of Rushmore?,The Royal Tenenbaums has the genre of Rushmore.,Kick-Ass,"['Q2201', 'Q2515', 'Q14948573']",The Royal Tenenbaums,['Q935105']
3225,1,The priest William Baldwin studied at which of the University of Oxford's colleges?,Balliol College is the University of Oxford's college where the priest William Baldwin studied.,Exeter College,['Q81173'],Balliol College,['Q805285']
3231,1,Who is a person that produced In America ?,Kathleen Kennedy is a person that produced In America.,Jim Sheridan,"['Q55429', 'Q392461']",Kathleen Kennedy,['Q237207']
3236,1,What legislator heads the government of California (that is the filming location of Pirates of the Caribbean: On Stranger Tides?,"The head of the government of California, which is the filming location of Pirates of the Caribbean: On Stranger Tides, is a member of Congress.",Member of Congress,['Q14761450'],Arnold Schwarzenegger,['Q2685']
3242,1,Which screenwriter served as director of photography on How the West Was Won?,Henry Hathaway served as director of photography on How the West Was Won.,Charles Lang,['Q486883'],Henry Hathaway,['Q457250']
3246,1,"Who died in a city in the United States, where Samuel M. Corner was born?","David Bowie died in a city in the United States, where Samuel M. Corner was born.",John Davis,"['Q931181', 'Q880346', 'Q6228791', 'Q6228831', 'Q6228786', 'Q1699771', 'Q6228820', 'Q6228816', 'Q13219597', 'Q6228799', 'Q6228789', 'Q6228804', 'Q6228793', 'Q16030449', 'Q6228783', 'Q6228815', 'Q16207391']",David Bowie,"['Q5383', 'Q1648283']"
3255,1,What visual artwork was composed by Theodore Shapiro who attended Wesleyan University?,The Devil Wears Prada was composed by Theodore Shapiro who attended Wesleyan University.,DodgeBall: A True Underdog Story,['Q908473'],The Devil Wears Prada,"['Q223316', 'Q2037865']"
3266,1,What United States city is known to share a border with Claremont?,Los Angeles shares a border with Claremont.,Pomona,['Q486868'],Los Angeles,['Q65']
3279,1,Tokyo Broadcasting System Holdings was the first to air which movie?,The Simpsons was the first to air on Tokyo Broadcasting System Holdings.,Eureka Seven,['Q962161'],The Simpsons,['Q886']
3284,1,"What is the name of the person who was born in Washington, D.C. and participated in the 1912 Summer Olympics?","Charlie Chaplin was born in Washington, D.C. and participated in the 1912 Summer Olympics.",John Paul Jones,"['Q190243', 'Q3182263', 'Q314333', 'Q1701366']",Charlie Chaplin,['Q882']
3290,1,Which person executive produced the visual artwork featuring Betty White as a cast member?,Betty White executive produced the visual artwork featuring Betty White as a cast member.,Alex Kurtzman,['Q432598'],Betty White,['Q373895']
3293,1,Which person was born in Asheville?,Madonna was born in Asheville.,Jermaine Dupri,['Q349434'],Madonna,['Q1744']
3317,1,Who is the person that attended Fiorello H. LaGuardia High School and is a cast member of Zoolander?,Ben Stiller is the person who attended Fiorello H. LaGuardia High School and is a cast member of Zoolander.,Christian Slater,['Q204590'],Ben Stiller,['Q47100']
3324,1,Which music is the genre of Elvis Presley?,Elvis Presley's genre is Rock and roll.,country rock,['Q613408'],Rock and roll,['Q7749']
3328,1,What production company was the original broadcaster of Hiroshima (original language Japanese) and also Twin Peaks (shot in Washington) ?,ABC was the original broadcaster of Hiroshima and also Twin Peaks.,Showtime,"['Q1091168', 'Q23589', 'Q14333885']",ABC,['Q3600480']
3333,1,Which French region shares a border with Lower Normandy?,Upper Normandy shares a border with Lower Normandy.,Brittany,"['Q12130', 'Q327']",Upper Normandy,['Q16961']
3337,1,Who is a politician and is also a member of the Skull and Bones?,George W. Bush is a politician and a member of the Skull and Bones.,George H. W. Bush,['Q23505'],George W. Bush,['Q207']
3340,1,Which Wisconsin county contains La Crosse?,Monroe County contains La Crosse.,La Crosse County,['Q500871'],Monroe County,"['Q495588', 'Q263742', 'Q115104', 'Q512699', 'Q195658', 'Q488522', 'Q932966', 'Q501060']"
3342,1,Which vocal academic discipline is associated with Damon Albarn?,Baritone is the vocal academic discipline associated with Damon Albarn.,baritone,['Q31687'],Opera,['Q1344']
3348,1,Edward Norton produced which visual artwork?,Fight Club was produced by Edward Norton.,The Painted Veil,"['Q128854', 'Q1091344', 'Q795340']",Fight Club,['Q190050']
3349,1,Kobe Bryant was drafted by which basketball team?,Los Angeles Lakers drafted Kobe Bryant.,Charlotte Hornets,['Q163480'],Los Angeles Lakers,['Q121783']
3360,1,The Democratic Republic of the Congo was the filming locale of which visual artwork?,District 9 was filmed in the Democratic Republic of the Congo.,The African Queen,['Q384397'],District 9,['Q201819']
3366,1,"Which cast member of The Pink Panther, composed by Christophe Beck, was a recipient at the 61st Primetime Emmy Awards?","Elizabeth Perkins was a recipient at the 61st Primetime Emmy Awards for her role in The Pink Panther, which was composed by Christophe Beck.",Kristin Chenoweth,['Q231811'],Elizabeth Perkins,['Q232047']
3377,1,Which city in the US contains the university in which George S. Clinton studied ?,New York City contains the university in which George S. Clinton studied.,Murfreesboro,['Q501766'],New York City,['Q60']
3378,1,At what ethnic group belongs Phil Collinson and Catherine Tate?,Phil Collinson and Catherine Tate belong to the English ethnic group.,White British,['Q7994501'],English,['Q1860']
3385,1,Who is a resident of Tunis?,Djibouti is a resident of Tunis.,Claudia Cardinale,['Q107006'],Djibouti,"['Q977', 'Q3604']"
3386,1,What company is the publisher of The Lion King whose game mode is single-player video game?,Electronic Arts is the publisher of The Lion King whose game mode is single-player video game.,Virgin Interactive,['Q1481820'],Electronic Arts,['Q173941']
3387,1,What ethnic group is geographically distributed in a geographic region which is the continent where The Hague is located ?,The ethnic group that is geographically distributed in a geographic region which is the continent where The Hague is located is the Dutch.,Romani people,['Q8060'],Dutch,"['Q7411', 'Q784704']"
3402,1,What county of New York is the birthplace of Ray Heindorf ?,Nassau is the birthplace of Ray Heindorf.,Rockland County,['Q111098'],Nassau,['Q2467']
3417,1,Dr. Strangelove (the one whose genre is war film) is in which genre?,The genre of Dr. Strangelove is Satire.,black comedy,['Q53094'],Satire,['Q128758']
3425,1,Which World Trade Organization member state is situated on the Lesser Antilles?,Dominica is a World Trade Organization member state situated on the Lesser Antilles.,Grenada,['Q769'],Dominica,['Q784']
3428,1,Which first-level administrative country subdivision borders Friuli–Venezia Giulia?,Slovenia borders Friuli–Venezia Giulia.,Carinthia,['Q37985'],Slovenia,['Q215']
3431,1,Which person was born in Alton?,Edward Albee was born in Alton.,Miles Davis,['Q93341'],Edward Albee,['Q219420']
3439,1,Which TV series was preceded by the miniseries about a branch of the military?,Band of Brothers was preceded by a miniseries about a branch of the military.,The Pacific,['Q598499'],Band of Brothers,['Q208048']
3450,1,What organization is a CBS Corporation subsidiary?,CBS News is a subsidiary of CBS Corporation.,CBS Radio,['Q1022995'],CBS News,['Q861764']
